RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730250001,2730250,27,601,71,2005,2005,5,170945,11,1.0000,8.1,8.1000,,8.7,8.7000,,,,,2.2,2.2000,,4,4.0000,,,,,<0.5,0.0000,,,,,,,,,,,,,,,,
2730250002,2730250,27,601,71,2005,2005,5,170945,13,10.0000,8.1,8.1000,,6.8,6.8000,,,,,0.6,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,
2730250003,2730250,27,601,71,2005,2005,8,020950,11,1.0000,8.6,8.6000,,12,12.0000,,,,,6.1,6.1000,,6,6.0000,,,,,<0.5,0.0000,,,,,,,,,,,,,,,,
2730250004,2730250,27,601,71,2005,2005,8,021015,13,10.0000,7.9,7.9000,,1.4,1.4000,,,,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,,,,
2730250005,2730250,27,601,71,2005,2005,11,080920,11,1.0000,7.8,7.8000,,8.2,8.2000,,,,,2.4,2.4000,,4,4.0000,,,,,<0.5,0.0000,,,,,,,,,,,,,,,,
2730250006,2730250,27,601,71,2005,2005,11,080925,13,10.0000,7.8,7.8000,,4,4.0000,,,,,4.2,4.2000,,,,,,,,,,,,,,,,,,,,,,,,,
2730250007,2730250,27,601,71,2005,2006,2,210915,11,1.0000,8.3,8.3000,,10,10.0000,,,,,2,2.0000,,1,1.0000,,,,,<0.5,0.0000,,,,,,,,,,,,,,,,
2730250008,2730250,27,601,71,2005,2006,2,210915,13,10.0000,8.3,8.3000,,10,10.0000,,,,,2.4,2.4000,,,,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2005,2005,4,261043,11,1.0000,8.3,8.3000,0,11,11.0000,0,,,,4.9,4.9000,0,5,5.0000,,,,,,,,,,,,,,,,,,,,,,
2730010002,2730010,27,601,01,2005,2005,4,261043,13,12.3000,7.9,7.9000,0,5.7,5.7000,0,,,,2.1,2.1000,0,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730010003,2730010,27,601,01,2005,2005,5,171150,11,1.0000,8.4,8.4000,1,13,13.0000,0,,,,5.6,5.6000,0,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730010004,2730010,27,601,01,2005,2005,5,171150,13,15.4000,8,8.0000,0,6.3,6.3000,0,,,,2.1,2.1000,0,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730180003,2730180,27,604,01,2005,2005,5,170950,11,1.0000,8.3,8.3000,0,9.9,9.9000,0,,,,3.1,3.1000,1,3,3.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730180004,2730180,27,604,01,2005,2005,5,170950,13,15.1000,8.1,8.1000,0,9.5,9.5000,0,,,,2,2.0000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730060001,2730060,27,601,53,2005,2005,4,070910,11,0.5000,8.1,8.1000,,9.5,9.5000,,1.6,1.6000,,2.4,2.4000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730060002,2730060,27,601,53,2005,2005,5,110835,11,0.5000,8.1,8.1000,,7.5,7.5000,,3.4,3.4000,,3.4,3.4000,,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730060003,2730060,27,601,53,2005,2005,6,080853,11,0.5000,8.2,8.2000,,8,8.0000,,4,4.0000,,4.1,4.1000,,9,9.0000,,,,,,,,,,,,,,,,,,,,,,
2730020010,2730020,27,601,02,2005,2005,8,021337,13,9.6000,8,8.0000,0,2,2.0000,0,,,,3,3.0000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730020011,2730020,27,601,02,2005,2005,9,131055,11,1.0000,8.9,8.9000,1,17,17.0000,0,,,,8.5,8.5000,1,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730060004,2730060,27,601,53,2005,2005,7,140835,11,0.5000,8.3,8.3000,,7,7.0000,,4,4.0000,,4,4.0000,,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730060005,2730060,27,601,53,2005,2005,8,030845,11,0.5000,8.4,8.4000,,8.6,8.6000,,5.3,5.3000,,3.5,3.5000,,9,9.0000,,,,,,,,,,,,,,,,,,,,,,
2730060006,2730060,27,601,53,2005,2005,9,150835,11,0.5000,8.5,8.5000,,8.2,8.2000,,3.1,3.1000,,2.9,2.9000,,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730060007,2730060,27,601,53,2005,2005,10,060847,11,0.5000,7.8,7.8000,,4.2,4.2000,,1.3,1.3000,,3.3,3.3000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730060008,2730060,27,601,53,2005,2005,11,020838,11,0.5000,8,8.0000,,6.1,6.1000,,0.9,0.9000,,2.6,2.6000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730060009,2730060,27,601,53,2005,2005,12,070840,11,0.5000,8.2,8.2000,,7.9,7.9000,,2.5,2.5000,,3.1,3.1000,,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730060010,2730060,27,601,53,2005,2006,1,180832,11,0.5000,8.2,8.2000,,8.3,8.3000,,0.6,0.6000,,2.3,2.3000,,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730060011,2730060,27,601,53,2005,2006,2,020840,11,0.5000,8.2,8.2000,,9.1,9.1000,,2,2.0000,,3.8,3.8000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730060012,2730060,27,601,53,2005,2006,3,030830,11,0.5000,8.3,8.3000,,10,10.0000,,1.3,1.3000,,3.7,3.7000,,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730010005,2730010,27,601,01,2005,2005,6,141039,11,1.0000,8.1,8.1000,0,7.3,7.3000,0,,,,4.1,4.1000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730010006,2730010,27,601,01,2005,2005,6,141039,13,12.5000,8,8.0000,0,4.2,4.2000,0,,,,2.4,2.4000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730010007,2730010,27,601,01,2005,2005,7,131123,11,1.0000,8.1,8.1000,0,6.9,6.9000,0,,,,4.8,4.8000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730010008,2730010,27,601,01,2005,2005,7,131123,13,13.1000,7.8,7.8000,0,1.7,1.7000,1,,,,2,2.0000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730010009,2730010,27,601,01,2005,2005,8,021052,11,1.0000,8.3,8.3000,0,8.9,8.9000,0,,,,5.7,5.7000,0,4,4.0000,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730010010,2730010,27,601,01,2005,2005,8,021052,13,11.8000,8,8.0000,0,3.9,3.9000,0,,,,1.8,1.8000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730010011,2730010,27,601,01,2005,2005,9,131024,11,1.0000,8.5,8.5000,1,11,11.0000,0,,,,5.9,5.9000,0,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730010012,2730010,27,601,01,2005,2005,9,131024,13,12.0000,8,8.0000,0,3.2,3.2000,0,,,,2.5,2.5000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730010013,2730010,27,601,01,2005,2005,10,121126,11,1.0000,8,8.0000,0,4.9,4.9000,0,,,,2.3,2.3000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730010014,2730010,27,601,01,2005,2005,10,121126,13,12.3000,8.1,8.1000,0,3.9,3.9000,0,,,,1.9,1.9000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730010015,2730010,27,601,01,2005,2005,11,081032,11,1.0000,8.1,8.1000,0,8.2,8.2000,0,,,,3.5,3.5000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730010016,2730010,27,601,01,2005,2005,11,081032,13,12.5000,8,8.0000,0,5.5,5.5000,0,,,,2.1,2.1000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730010017,2730010,27,601,01,2005,2005,12,081019,11,1.0000,8,8.0000,0,8.4,8.4000,0,,,,2.6,2.6000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730010018,2730010,27,601,01,2005,2005,12,081019,13,12.4000,8.1,8.1000,0,8.1,8.1000,0,,,,2.7,2.7000,0,11,11.0000,,,,,,,,,,,,,,,,,,,,,,
2730090012,2730090,27,601,56,2005,2006,3,030804,11,0.5000,7.5,7.5000,,8.1,8.1000,,2.6,2.6000,,5.7,5.7000,,5,5.0000,,,,,,,,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2005,2005,4,261019,11,1.0000,8.5,8.5000,1,14,14.0000,0,,,,5.1,5.1000,1,5,5.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130002,2730130,27,602,01,2005,2005,4,261019,13,14.0000,8,8.0000,0,6.3,6.3000,0,,,,2.1,2.1000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730130003,2730130,27,602,01,2005,2005,5,171122,11,1.0000,8.4,8.4000,1,12,12.0000,0,,,,4.4,4.4000,1,5,5.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130004,2730130,27,602,01,2005,2005,5,171122,13,14.3000,8.1,8.1000,0,7.3,7.3000,0,,,,2.1,2.1000,0,5,5.0000,,,,,,,,,,,,,,,,,,,,,,
2730130005,2730130,27,602,01,2005,2005,6,141011,11,1.0000,8.4,8.4000,1,11,11.0000,0,,,,5,5.0000,1,4,4.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130006,2730130,27,602,01,2005,2005,6,141011,13,14.2000,8,8.0000,0,5.3,5.3000,0,,,,2.3,2.3000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730130007,2730130,27,602,01,2005,2005,7,131058,11,1.0000,8.2,8.2000,0,5.3,5.3000,0,,,,4.1,4.1000,1,2,2.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130008,2730130,27,602,01,2005,2005,7,131058,13,14.5000,8,8.0000,0,3.7,3.7000,1,,,,1.7,1.7000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
