RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730070004,2730070,27,601,54,2006,2006,7,120915,11,1.0000,7.4,7.4000,,6.2,6.2000,,1.6,1.6000,,6.3,6.3000,,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730070005,2730070,27,601,54,2006,2006,8,170900,11,1.0000,8,8.0000,,3.2,3.2000,,1.2,1.2000,,3.7,3.7000,,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730070006,2730070,27,601,54,2006,2006,9,060924,11,1.0000,7.8,7.8000,,3.3,3.3000,,2.1,2.1000,,5.9,5.9000,,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730070007,2730070,27,601,54,2006,2006,10,050920,11,1.0000,7.6,7.6000,,3.3,3.3000,,1,1.0000,,3.5,3.5000,,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730070008,2730070,27,601,54,2006,2006,11,080903,11,1.0000,7.7,7.7000,,5.6,5.6000,,1.6,1.6000,,4.6,4.6000,,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730070009,2730070,27,601,54,2006,2006,12,060911,11,1.0000,8,8.0000,,6.1,6.1000,,1.3,1.3000,,3.2,3.2000,,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730230002,2730230,27,607,01,2006,2006,5,091316,11,1.0000,8.3,8.3000,0,9.3,9.3000,0,,,,2.8,2.8000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230003,2730230,27,607,01,2006,2006,6,061203,11,1.0000,8.5,8.5000,1,7.4,7.4000,0,,,,2.4,2.4000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230004,2730230,27,607,01,2006,2006,7,041344,11,1.0000,8.1,8.1000,0,8.5,8.5000,0,,,,2.2,2.2000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230005,2730230,27,607,01,2006,2006,8,021310,11,1.0000,8.3,8.3000,0,8.6,8.6000,0,,,,3,3.0000,0,,,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730200014,2730200,27,605,01,2006,2006,10,170930,13,17.0000,8.1,8.1000,0,7.1,7.1000,1,,,,1.8,1.8000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730220002,2730220,27,606,01,2006,2006,5,091426,11,1.0000,8.2,8.2000,0,9.7,9.7000,0,,,,2.6,2.6000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220003,2730220,27,606,01,2006,2006,6,061255,11,1.0000,8.6,8.6000,1,8.4,8.4000,0,,,,2.4,2.4000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220004,2730220,27,606,01,2006,2006,7,041443,11,1.0000,8,8.0000,0,7.4,7.4000,0,,,,3.3,3.3000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220005,2730220,27,606,01,2006,2006,8,021450,11,1.0000,8.3,8.3000,0,9.6,9.6000,0,,,,3.2,3.2000,0,,,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730220006,2730220,27,606,01,2006,2006,9,131216,11,1.0000,7.8,7.8000,0,5.3,5.3000,0,,,,2.5,2.5000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220007,2730220,27,606,01,2006,2006,10,171254,11,1.0000,8.1,8.1000,0,8.3,8.3000,0,,,,2.6,2.6000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220008,2730220,27,606,01,2006,2006,11,141155,11,1.0000,8,8.0000,0,6.8,6.8000,0,,,,2.5,2.5000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220009,2730220,27,606,01,2006,2006,12,121210,11,1.0000,7.9,7.9000,0,7.9,7.9000,0,,,,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220010,2730220,27,606,01,2006,2007,1,101353,11,1.0000,8,8.0000,0,9.1,9.1000,0,,,,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220011,2730220,27,606,01,2006,2007,2,211210,11,1.0000,8.2,8.2000,0,10,10.0000,0,,,,3.8,3.8000,0,,,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730220012,2730220,27,606,01,2006,2007,3,151124,11,1.0000,8,8.0000,0,9.6,9.6000,0,,,,2.6,2.6000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230001,2730230,27,607,01,2006,2006,4,191138,11,1.0000,8.3,8.3000,0,10,10.0000,0,,,,2.1,2.1000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230006,2730230,27,607,01,2006,2006,9,131126,11,1.0000,8,8.0000,0,5.5,5.5000,0,,,,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230007,2730230,27,607,01,2006,2006,10,171233,11,1.0000,8.2,8.2000,0,9.2,9.2000,0,,,,3.1,3.1000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230008,2730230,27,607,01,2006,2006,11,141110,11,1.0000,8,8.0000,0,7.1,7.1000,0,,,,2.5,2.5000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230009,2730230,27,607,01,2006,2006,12,121121,11,1.0000,7.9,7.9000,0,8.3,8.3000,0,,,,1.9,1.9000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230010,2730230,27,607,01,2006,2007,1,101328,11,1.0000,8,8.0000,0,8.9,8.9000,0,,,,1.8,1.8000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730230011,2730230,27,607,01,2006,2007,2,211135,11,1.0000,8.2,8.2000,0,11,11.0000,0,,,,2.9,2.9000,0,,,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730230012,2730230,27,607,01,2006,2007,3,151042,11,1.0000,8.1,8.1000,0,9.6,9.6000,0,,,,2.4,2.4000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2006,2006,4,191114,11,1.0000,8.2,8.2000,0,8.2,8.2000,0,,,,1.8,1.8000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240002,2730240,27,608,01,2006,2006,5,091250,11,1.0000,8.2,8.2000,0,9.3,9.3000,0,,,,1.8,1.8000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240003,2730240,27,608,01,2006,2006,6,061130,11,1.0000,8.5,8.5000,1,7.4,7.4000,0,,,,1.3,1.3000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240004,2730240,27,608,01,2006,2006,7,041309,11,1.0000,8,8.0000,0,6.9,6.9000,0,,,,2.5,2.5000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240005,2730240,27,608,01,2006,2006,8,021233,11,1.0000,8.2,8.2000,0,7.2,7.2000,0,,,,2.1,2.1000,0,,,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730240006,2730240,27,608,01,2006,2006,9,131055,11,1.0000,7.9,7.9000,0,4.1,4.1000,0,,,,1.9,1.9000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240007,2730240,27,608,01,2006,2006,10,171212,11,1.0000,8.1,8.1000,0,8,8.0000,0,,,,2.9,2.9000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240008,2730240,27,608,01,2006,2006,11,141050,11,1.0000,7.9,7.9000,0,6.2,6.2000,0,,,,2.6,2.6000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240009,2730240,27,608,01,2006,2006,12,121058,11,1.0000,7.9,7.9000,0,7.4,7.4000,0,,,,1.6,1.6000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240010,2730240,27,608,01,2006,2007,1,101304,11,1.0000,7.9,7.9000,0,7.4,7.4000,0,,,,1.7,1.7000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240011,2730240,27,608,01,2006,2007,2,211110,11,1.0000,8.1,8.1000,0,9.6,9.6000,0,,,,2.3,2.3000,0,,,,,,,ND,0.0000,,,,,,,,,,,,,,,,
2730240012,2730240,27,608,01,2006,2007,3,151021,11,1.0000,8,8.0000,0,8.9,8.9000,0,,,,2.3,2.3000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730250001,2730250,27,601,71,2006,2006,5,091008,11,1.0000,8.1,8.1000,,9.3,9.3000,,,,,2.6,2.6000,,1,1.0000,,,,,<0.5,0.0000,,,,,,,,,,,,,,,,
2730250002,2730250,27,601,71,2006,2006,5,091008,13,9.5000,8,8.0000,,7.8,7.8000,,,,,2.2,2.2000,,,,,,,,,,,,,,,,,,,,,,,,,
2730250003,2730250,27,601,71,2006,2006,8,021023,11,1.0000,8.6,8.6000,,7.9,7.9000,,,,,4.4,4.4000,,2,2.0000,,,,,<0.5,0.0000,,,,,,,,,,,,,,,,
2730250004,2730250,27,601,71,2006,2006,8,021023,13,10.6000,7.8,7.8000,,1.6,1.6000,,,,,2.1,2.1000,,,,,,,,,,,,,,,,,,,,,,,,,
2730250005,2730250,27,601,71,2006,2006,11,140921,11,1.0000,8.1,8.1000,,7.7,7.7000,,,,,2,2.0000,,2,2.0000,,,,,<0.5,0.0000,,,,,,,,,,,,,,,,
2730250006,2730250,27,601,71,2006,2006,11,140921,13,10.0000,8.1,8.1000,,5.9,5.9000,,,,,1.8,1.8000,,,,,,,,,,,,,,,,,,,,,,,,,
2730250007,2730250,27,601,71,2006,2007,2,160928,11,1.0000,8.2,8.2000,,9.5,9.5000,,,,,3.3,3.3000,,3,3.0000,,,,,<0.5,0.0000,,,,,,,,,,,,,,,,
2730250008,2730250,27,601,71,2006,2007,2,160928,13,9.8000,8.1,8.1000,,8.9,8.9000,,,,,2.7,2.7000,,,,,,,,,,,,,,,,,,,,,,,,,
2730200015,2730200,27,605,01,2006,2006,11,140940,11,1.0000,8.1,8.1000,0,7.1,7.1000,1,,,,2.3,2.3000,1,1,1.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730200016,2730200,27,605,01,2006,2006,11,140940,13,17.5000,8.1,8.1000,0,7.1,7.1000,1,,,,2.1,2.1000,1,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730200017,2730200,27,605,01,2006,2006,12,120938,11,1.0000,8,8.0000,0,8.2,8.2000,0,,,,1.5,1.5000,0,1,1.0000,,2,2.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730200018,2730200,27,605,01,2006,2006,12,120938,13,17.5000,8,8.0000,0,8.3,8.3000,0,,,,1.2,1.2000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
