RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730240001,2730240,27,608,01,2011,2012,2,061136,11,1.0000,8.2,8.2000,0,10,10.0000,0,,,,2.9,2.9000,0,,,,,,,<0.5,0.0000,0,0.008,0.0080,0,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2012,1,131450,11,1.0000,8.1,8.1000,0,9.6,9.6000,0,,,,1.5,1.5000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,12,061105,11,1.0000,8.1,8.1000,0,6.9,6.9000,0,,,,1.6,1.6000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,11,081050,11,1.0000,8.0,8.0000,0,5.7,5.7000,0,,,,2.1,2.1000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,4,121055,11,1.0000,8.1,8.1000,0,9,9.0000,0,,,,1.9,1.9000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,9,131110,11,1.0000,8.3,8.3000,0,7.1,7.1000,0,,,,1.6,1.6000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,8,051055,11,1.0000,8.3,8.3000,0,6.4,6.4000,0,,,,2.1,2.1000,0,,,,,,,<0.5,0.0000,0,0.003,0.0030,0,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,7,051350,11,1.0000,8.1,8.1000,0,6.4,6.4000,0,,,,1.9,1.9000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,6,071055,11,1.0000,8.2,8.2000,0,6.9,6.9000,0,,,,2.1,2.1000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,5,101235,11,1.0000,8.1,8.1000,0,7.7,7.7000,0,,,,2.3,2.3000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240001,2730240,27,608,01,2011,2011,10,051250,11,1.0000,8.1,8.1000,0,5.7,5.7000,0,,,,1.8,1.8000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730210001,2730210,27,605,02,2011,2011,4,121020,11,1.0000,8.1,8.1000,0,9.7,9.7000,0,,,,2.2,2.2000,1,2,2.0000,0,2,2.0000,0,<0.5,0.0000,0,,,,,,,,,,,,,,,
