RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730130001,2730130,27,602,01,2018,2019,3,010947,13,14.8000,8.1,8.1000,0,9.7,9.7000,0,,,,2.5,2.5000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,4,280950,11,1.0000,8.5,8.5000,1,13,13.0000,0,,,,4.3,4.3000,1,5,5.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,4,280950,13,14.3000,8.2,8.2000,0,7.3,7.3000,0,,,,1.6,1.6000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,5,081014,11,1.0000,8.4,8.4000,1,9.7,9.7000,0,,,,3.8,3.8000,1,10,10.0000,0,,,,<0.5,0.0000,0,0.005,0.0050,0,,,,0.0006,0.0006,0,<0.00006,0.0000,0,,,
2730130001,2730130,27,602,01,2018,2018,5,081014,13,14.4000,8.2,8.2000,0,7.9,7.9000,0,,,,1.8,1.8000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,5,081014,13,15.4000,,,,5.6,5.6000,0,,,,,,,,,,,,,,,,,,,5.6,5.6000,0,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,6,060951,11,1.0000,8.4,8.4000,1,8.6,8.6000,0,,,,2.9,2.9000,0,1,1.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,6,060951,13,14.7000,8.3,8.3000,0,6.4,6.4000,0,,,,2.1,2.1000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,6,060951,13,15.7000,,,,4.6,4.6000,1,,,,,,,,,,,,,,,,,,,4.6,4.6000,0,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,7,171045,11,1.0000,8.7,8.7000,1,8.0,8.0000,0,,,,3.5,3.5000,1,2,2.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,7,171045,13,14.7000,8.3,8.3000,0,5.8,5.8000,0,,,,1.9,1.9000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,7,171045,13,15.7000,,,,4.9,4.9000,1,,,,,,,,,,,,,,,,,,,4.9,4.9000,0,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,8,070957,11,1.0000,8.4,8.4000,1,8.3,8.3000,0,,,,3.2,3.2000,1,2,2.0000,0,,,,<0.5,0.0000,0,0.003,0.0030,0,,,,<0.0006,0.0000,0,<0.00006,0.0000,0,,,
2730130001,2730130,27,602,01,2018,2018,8,070957,13,13.5000,8.2,8.2000,0,5.0,5.0000,0,,,,1.9,1.9000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,8,070957,13,14.5000,,,,3.9,3.9000,1,,,,,,,,,,,,,,,,,,,3.9,3.9000,0,,,,,,,,,
2730130001,2730130,27,602,01,2018,2018,9,120957,11,1.0000,8.1,8.1000,0,5.8,5.8000,0,,,,2.0,2.0000,0,2,2.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,10,121237,11,1.0000,8.2,8.2000,0,6.2,6.2000,0,,,,1.7,1.7000,0,1,1.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,10,121237,13,13.2000,8.2,8.2000,0,4.6,4.6000,1,,,,1.6,1.6000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,9,121150,13,13.8000,8.1,8.1000,0,5.2,5.2000,0,,,,1.9,1.9000,0,10,10.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,9,121150,11,1.0000,8.1,8.1000,0,5.7,5.7000,0,,,,2.0,2.0000,0,3,3.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,8,071320,13,14.0000,,,,5.3,5.3000,0,,,,,,,,,,,,,,,,,,,5.3,5.3000,0,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,8,071320,13,13.0000,8.2,8.2000,0,5.4,5.4000,0,,,,1.8,1.8000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,8,071320,11,1.0000,8.4,8.4000,1,8.0,8.0000,0,,,,2.6,2.6000,0,1,1.0000,0,,,,<0.5,0.0000,0,0.003,0.0030,0,,,,<0.0006,0.0000,0,<0.00006,0.0000,0,,,
2730140001,2730140,27,602,02,2018,2018,7,171420,13,13.9000,,,,3.4,3.4000,1,,,,,,,,,,,,,,,,,,,3.4,3.4000,0,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,7,171420,13,12.9000,8.4,8.4000,1,3.4,3.4000,1,,,,2.3,2.3000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,7,171420,11,1.0000,8.7,8.7000,1,9.6,9.6000,0,,,,4.3,4.3000,1,3,3.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,6,061139,13,14.7000,,,,5.8,5.8000,0,,,,,,,,,,,,,,,,,,,5.8,5.8000,0,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,6,061139,13,13.7000,8.2,8.2000,0,6.3,6.3000,0,,,,1.5,1.5000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,6,061139,11,1.0000,8.4,8.4000,1,8.0,8.0000,0,,,,2.9,2.9000,0,3,3.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,5,081230,13,14.3000,,,,3.6,3.6000,1,,,,,,,,,,,,,,,,,,,3.6,3.6000,0,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,5,081230,13,13.3000,8.0,8.0000,0,4.2,4.2000,1,,,,2.0,2.0000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,5,081230,11,1.0000,8.4,8.4000,1,9.4,9.4000,0,,,,3.2,3.2000,1,3,3.0000,0,,,,<0.5,0.0000,0,0.004,0.0040,0,,,,<0.0006,0.0000,0,<0.00006,0.0000,0,,,
2730140001,2730140,27,602,02,2018,2018,4,281110,13,12.7000,8.2,8.2000,0,7.1,7.1000,0,,,,1.7,1.7000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2018,4,281110,11,1.0000,8.6,8.6000,1,12,12.0000,0,,,,5.0,5.0000,1,4,4.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2019,3,011113,13,13.5000,8.1,8.1000,0,10,10.0000,0,,,,2.2,2.2000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2019,3,011113,11,1.0000,8.2,8.2000,0,10,10.0000,0,,,,2.9,2.9000,0,3,3.0000,0,,,,<0.5,0.0000,0,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2019,2,131311,13,13.5000,8.3,8.3000,0,8.3,8.3000,0,,,,2.0,2.0000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730140001,2730140,27,602,02,2018,2019,2,131311,11,1.0000,8.5,8.5000,1,12,12.0000,0,,,,3.7,3.7000,1,2,2.0000,0,,,,<0.5,0.0000,0,0.001,0.0010,0,,,,<0.0006,0.0000,0,<0.00006,0.0000,0,,,
2730140001,2730140,27,602,02,2018,2019,1,251323,13,13.2000,8.2,8.2000,0,8.8,8.8000,0,,,,2.1,2.1000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
