RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730200008,2730200,27,605,01,2002,2002,7,180948,13,10.0000,8.2,8.2000,0,6.4,6.4000,1,,,,2.6,2.6000,1,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730200009,2730200,27,605,01,2002,2002,8,061217,11,1.0000,8.3,8.3000,0,7.2,7.2000,1,,,,2.9,2.9000,1,2,2.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730200010,2730200,27,605,01,2002,2002,8,061217,13,10.0000,8.2,8.2000,0,2.6,2.6000,1,,,,2.4,2.4000,1,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730200011,2730200,27,605,01,2002,2002,9,030936,11,1.0000,8.3,8.3000,0,7.3,7.3000,1,,,,3.4,3.4000,1,2,2.0000,,49,49.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730200012,2730200,27,605,01,2002,2002,9,030936,13,10.0000,8.2,8.2000,0,6.1,6.1000,1,,,,2.4,2.4000,1,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730200013,2730200,27,605,01,2002,2002,10,160940,11,1.0000,8.3,8.3000,0,8.3,8.3000,0,,,,2.1,2.1000,1,3,3.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730200014,2730200,27,605,01,2002,2002,10,160940,13,10.0000,8.2,8.2000,0,7.6,7.6000,0,,,,1.9,1.9000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730200015,2730200,27,605,01,2002,2002,11,121035,11,1.0000,8.2,8.2000,0,8,8.0000,0,,,,1.9,1.9000,0,3,3.0000,,<1.8,0.0000,0,ND,0.0000,0,,,,,,,,,,,,,,,
2730200016,2730200,27,605,01,2002,2002,11,121035,13,10.0000,8.2,8.2000,0,7.9,7.9000,0,,,,1.9,1.9000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730240003,2730240,27,608,01,2002,2002,6,041050,11,1.0000,8.2,8.2000,0,6.1,6.1000,0,,,,1.9,1.9000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730240004,2730240,27,608,01,2002,2002,7,181325,11,1.0000,8.1,8.1000,0,5.4,5.4000,0,,,,2.6,2.6000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240005,2730240,27,608,01,2002,2002,8,061003,11,1.0000,8.2,8.2000,0,6.3,6.3000,0,,,,2.5,2.5000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240006,2730240,27,608,01,2002,2002,9,031031,11,1.0000,8.1,8.1000,0,5.8,5.8000,0,,,,2.7,2.7000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730240007,2730240,27,608,01,2002,2002,10,161250,11,1.0000,8.1,8.1000,0,6.6,6.6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730240008,2730240,27,608,01,2002,2002,11,121145,11,1.0000,8.1,8.1000,0,7.8,7.8000,0,,,,2.1,2.1000,0,,,,,,,,,,,,,,,,,,,,,,,,
