RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730140020,2730140,27,602,02,2008,2009,1,061215,13,13.5000,8.3,8.3000,0,9.1,9.1000,0,,,,1.5,1.5000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730140021,2730140,27,602,02,2008,2009,2,030945,11,1.0000,8.2,8.2000,0,9.4,9.4000,0,,,,2.2,2.2000,0,3,3.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730140022,2730140,27,602,02,2008,2009,2,030945,13,12.5000,8.1,8.1000,0,8.3,8.3000,0,,,,1.7,1.7000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730140023,2730140,27,602,02,2008,2009,3,031035,11,1.0000,8.3,8.3000,0,8.9,8.9000,0,,,,1.5,1.5000,0,1,1.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730140024,2730140,27,602,02,2008,2009,3,031035,13,13.2000,8.3,8.3000,0,9.2,9.2000,0,,,,1.9,1.9000,0,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730150001,2730150,27,602,03,2008,2008,4,231130,11,1.0000,8.6,8.6000,1,12,12.0000,0,,,,3.7,3.7000,1,3,3.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730150002,2730150,27,602,03,2008,2008,4,231130,13,13.1000,8.5,8.5000,1,7.7,7.7000,0,,,,1.8,1.8000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730150003,2730150,27,602,03,2008,2008,5,261345,11,1.0000,8.5,8.5000,1,10,10.0000,0,,,,5.6,5.6000,1,5,5.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730150004,2730150,27,602,03,2008,2008,5,261345,13,12.6000,8.3,8.3000,0,7,7.0000,0,,,,2.4,2.4000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730150005,2730150,27,602,03,2008,2008,6,101135,11,1.0000,8.6,8.6000,1,10,10.0000,0,,,,3.6,3.6000,1,3,3.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730150006,2730150,27,602,03,2008,2008,6,101135,13,13.3000,8.4,8.4000,1,4.8,4.8000,1,,,,1.9,1.9000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730150007,2730150,27,602,03,2008,2008,7,091320,11,1.0000,8.5,8.5000,1,7.9,7.9000,0,,,,3.9,3.9000,1,2,2.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730150008,2730150,27,602,03,2008,2008,7,091320,13,12.2000,8.1,8.1000,0,2.3,2.3000,1,,,,3,3.0000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730150009,2730150,27,602,03,2008,2008,8,050830,11,1.0000,8.4,8.4000,1,5,5.0000,0,,,,3.8,3.8000,1,4,4.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730150010,2730150,27,602,03,2008,2008,8,050830,13,13.5000,7.9,7.9000,0,4.4,4.4000,1,,,,2.9,2.9000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730150011,2730150,27,602,03,2008,2008,9,091140,11,1.0000,8.5,8.5000,1,7.2,7.2000,0,,,,2.7,2.7000,0,4,4.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
