RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730080006,2730080,27,601,55,2003,2003,9,101003,11,1.0000,7.9,7.9000,,6.5,6.5000,,2.1,2.1000,,3.5,3.5000,,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730080007,2730080,27,601,55,2003,2003,10,080945,11,1.0000,8,8.0000,,5.6,5.6000,,1.3,1.3000,,3.5,3.5000,,8,8.0000,,,,,,,,,,,,,,,,,,,,,,
2730080008,2730080,27,601,55,2003,2003,11,040945,11,1.0000,8.1,8.1000,,5.8,5.8000,,2.2,2.2000,,1.9,1.9000,,5,5.0000,,11000,11000.0000,,,,,,,,,,,,,,,,,,,
2730080009,2730080,27,601,55,2003,2003,12,090938,11,1.0000,7.9,7.9000,,7.9,7.9000,,0.8,0.8000,,4,4.0000,,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730080010,2730080,27,601,55,2003,2004,1,130903,11,1.0000,7.9,7.9000,,8.7,8.7000,,2.1,2.1000,,4.1,4.1000,,5,5.0000,,,,,,,,,,,,,,,,,,,,,,
2730080011,2730080,27,601,55,2003,2004,2,041040,11,1.0000,8.1,8.1000,,10,10.0000,,3.2,3.2000,,5.1,5.1000,,25,25.0000,,240,240.0000,,,,,,,,,,,,,,,,,,,
2730080012,2730080,27,601,55,2003,2004,3,090926,11,1.0000,8.6,8.6000,,15,15.0000,,3.5,3.5000,,6,6.0000,,12,12.0000,,,,,,,,,,,,,,,,,,,,,,
2730090001,2730090,27,601,56,2003,2003,4,010826,11,1.0000,7.8,7.8000,,8.1,8.1000,,1.7,1.7000,,5.2,5.2000,,7,7.0000,,,,,,,,,,,,,,,,,,,,,,
2730090002,2730090,27,601,56,2003,2003,5,130823,11,1.0000,7.6,7.6000,,6.4,6.4000,,1.3,1.3000,,5,5.0000,,7,7.0000,,9400,9400.0000,,,,,,,,,,,,,,,,,,,
2730090003,2730090,27,601,56,2003,2003,6,030815,11,1.0000,7.5,7.5000,,5.4,5.4000,,1.2,1.2000,,5.7,5.7000,,6,6.0000,,,,,,,,,,,,,,,,,,,,,,
2730090004,2730090,27,601,56,2003,2003,7,010830,11,1.0000,7.4,7.4000,,5.1,5.1000,,1.8,1.8000,,5.4,5.4000,,4,4.0000,,,,,,,,,,,,,,,,,,,,,,
2730130008,2730130,27,602,01,2003,2003,7,231012,13,14.1000,8.1,8.1000,0,5.3,5.3000,0,,,,2.4,2.4000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730130009,2730130,27,602,01,2003,2003,8,051206,11,1.0000,8.6,8.6000,1,9.1,9.1000,0,,,,2.7,2.7000,0,1,1.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130010,2730130,27,602,01,2003,2003,8,051206,13,15.1000,8,8.0000,0,1.5,1.5000,1,,,,2.3,2.3000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730130011,2730130,27,602,01,2003,2003,9,020936,11,1.0000,8.8,8.8000,1,11,11.0000,0,,,,5.2,5.2000,1,6,6.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130012,2730130,27,602,01,2003,2003,9,020936,13,14.7000,8.2,8.2000,0,6.2,6.2000,0,,,,2.5,2.5000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730130013,2730130,27,602,01,2003,2003,10,161001,11,1.0000,8.1,8.1000,0,7.1,7.1000,0,,,,2.2,2.2000,0,2,2.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130014,2730130,27,602,01,2003,2003,10,161001,13,14.8000,8.2,8.2000,0,6,6.0000,0,,,,1.8,1.8000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730130015,2730130,27,602,01,2003,2003,11,181050,11,1.0000,8.2,8.2000,0,8.1,8.1000,0,,,,2.3,2.3000,0,2,2.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130016,2730130,27,602,01,2003,2003,11,181050,13,14.0000,8.2,8.2000,0,7,7.0000,0,,,,1.9,1.9000,0,3,3.0000,,,,,,,,,,,,,,,,,,,,,,
2730130017,2730130,27,602,01,2003,2003,12,170942,11,1.0000,8.2,8.2000,0,9.5,9.5000,0,,,,2.4,2.4000,0,2,2.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130018,2730130,27,602,01,2003,2003,12,170942,13,14.4000,8.2,8.2000,0,8.2,8.2000,0,,,,2.1,2.1000,0,2,2.0000,,,,,,,,,,,,,,,,,,,,,,
2730130019,2730130,27,602,01,2003,2004,1,151030,11,1.0000,8,8.0000,0,9.4,9.4000,0,,,,2.4,2.4000,0,4,4.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130020,2730130,27,602,01,2003,2004,1,151030,13,14.3000,8.1,8.1000,0,9.3,9.3000,0,,,,2.1,2.1000,0,5,5.0000,,,,,,,,,,,,,,,,,,,,,,
2730130021,2730130,27,602,01,2003,2004,2,121125,11,1.0000,8.4,8.4000,1,13,13.0000,0,,,,3.9,3.9000,1,2,2.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
2730130022,2730130,27,602,01,2003,2004,2,121125,13,14.4000,8.2,8.2000,0,10,10.0000,0,,,,2.1,2.1000,0,1,1.0000,,,,,,,,,,,,,,,,,,,,,,
2730130023,2730130,27,602,01,2003,2004,3,160946,11,1.0000,8.5,8.5000,1,12,12.0000,0,,,,3.8,3.8000,1,3,3.0000,,,,,ND,0.0000,0,,,,,,,,,,,,,,,
