RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730010001,2730010,27,601,01,2012,2012,9,041017,13,13.1000,0.51,0.5100,0,0.1,0.1000,0
2730010001,2730010,27,601,01,2012,2012,10,031113,13,13.3000,0.27,0.2700,0,0.039,0.0390,0
2730010001,2730010,27,601,01,2012,2012,11,061019,11,1.0000,0.6,0.6000,0,0.055,0.0550,0
2730010001,2730010,27,601,01,2012,2012,11,061019,13,12.6000,0.36,0.3600,0,0.04,0.0400,0
2730010001,2730010,27,601,01,2012,2012,12,071024,11,1.0000,0.93,0.9300,0,0.067,0.0670,0
2730010001,2730010,27,601,01,2012,2012,12,071024,13,12.8000,0.43,0.4300,0,0.043,0.0430,0
2730010001,2730010,27,601,01,2012,2013,1,091054,11,1.0000,1.2,1.2000,0,0.068,0.0680,0
2730010001,2730010,27,601,01,2012,2013,1,091054,13,12.0000,0.39,0.3900,0,0.037,0.0370,0
2730010001,2730010,27,601,01,2012,2013,2,061051,11,1.0000,0.73,0.7300,0,0.051,0.0510,0
2730010001,2730010,27,601,01,2012,2013,2,061051,13,13.2000,0.37,0.3700,0,0.034,0.0340,0
2730010001,2730010,27,601,01,2012,2013,3,051006,11,1.0000,1.1,1.1000,0,0.068,0.0680,0
2730010001,2730010,27,601,01,2012,2013,3,051006,13,13.6000,0.5,0.5000,0,0.028,0.0280,0
2730010001,2730010,27,601,01,2012,2012,10,031113,11,1.0000,0.83,0.8300,0,0.079,0.0790,0
2730010001,2730010,27,601,01,2012,2012,9,041017,11,1.0000,1,1.0000,0,0.12,0.1200,0
2730010001,2730010,27,601,01,2012,2012,8,081106,13,12.8000,0.59,0.5900,0,0.11,0.1100,0
2730010001,2730010,27,601,01,2012,2012,8,081106,11,1.0000,1,1.0000,0,0.14,0.1400,0
2730010001,2730010,27,601,01,2012,2012,7,101100,13,12.6000,0.41,0.4100,0,0.11,0.1100,0
2730010001,2730010,27,601,01,2012,2012,7,101100,11,1.0000,0.77,0.7700,0,0.087,0.0870,0
2730010001,2730010,27,601,01,2012,2012,6,071108,13,13.0000,0.37,0.3700,0,0.058,0.0580,0
2730010001,2730010,27,601,01,2012,2012,6,071108,11,1.0000,0.63,0.6300,0,0.08,0.0800,0
2730010001,2730010,27,601,01,2012,2012,5,081113,13,12.7000,0.33,0.3300,0,0.041,0.0410,0
2730010001,2730010,27,601,01,2012,2012,5,081113,11,1.0000,0.59,0.5900,0,0.055,0.0550,0
2730010001,2730010,27,601,01,2012,2012,4,101034,13,12.8000,0.22,0.2200,0,0.033,0.0330,0
2730010001,2730010,27,601,01,2012,2012,4,101034,11,1.0000,0.51,0.5100,0,0.054,0.0540,0
2730020001,2730020,27,601,02,2012,2012,4,101103,11,1.0000,0.7,0.7000,0,0.046,0.0460,0
2730020001,2730020,27,601,02,2012,2012,10,031215,13,10.5000,0.29,0.2900,0,0.042,0.0420,0
2730020001,2730020,27,601,02,2012,2012,11,061045,11,1.0000,0.42,0.4200,0,0.039,0.0390,0
2730020001,2730020,27,601,02,2012,2012,11,061045,13,9.6000,0.37,0.3700,0,0.041,0.0410,0
2730020001,2730020,27,601,02,2012,2012,12,071059,11,1.0000,0.47,0.4700,0,0.045,0.0450,0
2730020001,2730020,27,601,02,2012,2012,12,071059,13,10.0000,0.54,0.5400,0,0.046,0.0460,0
2730020001,2730020,27,601,02,2012,2013,1,091223,11,1.0000,0.46,0.4600,0,0.023,0.0230,0
2730020001,2730020,27,601,02,2012,2013,1,091223,13,9.7000,0.44,0.4400,0,0.028,0.0280,0
2730020001,2730020,27,601,02,2012,2013,2,061308,11,1.0000,0.38,0.3800,0,0.039,0.0390,0
2730020001,2730020,27,601,02,2012,2013,2,061308,13,10.6000,0.38,0.3800,0,0.038,0.0380,0
2730020001,2730020,27,601,02,2012,2013,3,051031,11,1.0000,0.61,0.6100,0,0.044,0.0440,0
2730020001,2730020,27,601,02,2012,2013,3,051031,13,10.7000,0.56,0.5600,0,0.027,0.0270,0
2730020001,2730020,27,601,02,2012,2012,9,041055,13,10.7000,0.57,0.5700,0,0.11,0.1100,0
2730020001,2730020,27,601,02,2012,2012,9,041055,11,1.0000,0.45,0.4500,0,0.063,0.0630,0
2730020001,2730020,27,601,02,2012,2012,8,081405,13,10.5000,0.51,0.5100,0,0.11,0.1100,0
2730020001,2730020,27,601,02,2012,2012,8,081405,11,1.0000,0.6,0.6000,0,0.1,0.1000,0
