RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730210004,2730210,27,605,02,2006,2006,5,091221,13,42.7000,0.19,0.1900,0,0.008,0.0080,0
2730210005,2730210,27,605,02,2006,2006,6,061059,11,1.0000,0.2,0.2000,0,0.014,0.0140,0
2730210006,2730210,27,605,02,2006,2006,6,061059,13,42.3000,0.19,0.1900,0,0.014,0.0140,0
2730200016,2730200,27,605,01,2006,2006,11,140940,13,17.5000,0.3,0.3000,0,0.021,0.0210,0
2730200017,2730200,27,605,01,2006,2006,12,120938,11,1.0000,0.3,0.3000,0,0.029,0.0290,0
2730200018,2730200,27,605,01,2006,2006,12,120938,13,17.5000,0.27,0.2700,0,0.027,0.0270,0
2730200019,2730200,27,605,01,2006,2007,1,100939,11,1.0000,0.33,0.3300,1,0.033,0.0330,1
2730200020,2730200,27,605,01,2006,2007,1,100939,13,18.9000,0.36,0.3600,1,0.038,0.0380,1
2730200021,2730200,27,605,01,2006,2007,2,210920,11,1.0000,0.34,0.3400,1,0.022,0.0220,0
2730200022,2730200,27,605,01,2006,2007,2,210920,13,20.1000,0.22,0.2200,0,0.021,0.0210,0
2730200023,2730200,27,605,01,2006,2007,3,150928,11,1.0000,0.22,0.2200,0,0.025,0.0250,0
2730200024,2730200,27,605,01,2006,2007,3,150928,13,22.2000,0.2,0.2000,0,0.015,0.0150,0
2730210001,2730210,27,605,02,2006,2006,4,191041,11,1.0000,0.22,0.2200,0,0.021,0.0210,0
2730210002,2730210,27,605,02,2006,2006,4,191041,13,43.1000,0.21,0.2100,0,0.021,0.0210,0
2730210003,2730210,27,605,02,2006,2006,5,091221,11,1.0000,0.19,0.1900,0,0.014,0.0140,0
2730160005,2730160,27,603,01,2006,2006,6,060942,11,1.0000,0.32,0.3200,0,0.036,0.0360,0
2730160006,2730160,27,603,01,2006,2006,6,060942,13,16.7000,0.29,0.2900,0,0.03,0.0300,0
2730160007,2730160,27,603,01,2006,2006,7,041303,11,1.0000,0.37,0.3700,0,0.051,0.0510,1
2730160008,2730160,27,603,01,2006,2006,7,041303,13,16.5000,0.27,0.2700,0,0.031,0.0310,0
2730160009,2730160,27,603,01,2006,2006,8,021105,11,1.0000,0.32,0.3200,0,0.02,0.0200,0
2730160010,2730160,27,603,01,2006,2006,8,021105,13,16.5000,0.34,0.3400,0,0.036,0.0360,0
2730160011,2730160,27,603,01,2006,2006,9,131140,11,1.0000,0.31,0.3100,0,0.039,0.0390,0
2730160012,2730160,27,603,01,2006,2006,9,131140,13,16.6000,0.25,0.2500,0,0.025,0.0250,0
2730160013,2730160,27,603,01,2006,2006,10,171230,11,1.0000,0.21,0.2100,0,0.024,0.0240,0
2730160014,2730160,27,603,01,2006,2006,10,171230,13,16.4000,0.22,0.2200,0,0.024,0.0240,0
2730160015,2730160,27,603,01,2006,2006,11,140933,11,1.0000,0.3,0.3000,0,0.024,0.0240,0
2730160016,2730160,27,603,01,2006,2006,11,140933,13,18.0000,0.26,0.2600,0,0.021,0.0210,0
2730160017,2730160,27,603,01,2006,2006,12,121100,11,1.0000,0.45,0.4500,0,0.036,0.0360,0
2730160018,2730160,27,603,01,2006,2006,12,121100,13,16.6000,0.26,0.2600,0,0.029,0.0290,0
2730160019,2730160,27,603,01,2006,2007,1,101400,11,1.0000,0.28,0.2800,0,0.028,0.0280,0
2730160020,2730160,27,603,01,2006,2007,1,101400,13,17.0000,0.31,0.3100,0,0.037,0.0370,0
2730160021,2730160,27,603,01,2006,2007,2,210953,11,1.0000,0.4,0.4000,0,0.028,0.0280,0
2730160022,2730160,27,603,01,2006,2007,2,210953,13,17.7000,0.21,0.2100,0,0.025,0.0250,0
2730160023,2730160,27,603,01,2006,2007,3,150925,11,1.0000,0.28,0.2800,0,0.028,0.0280,0
2730130018,2730130,27,602,01,2006,2006,12,120940,13,14.0000,0.3,0.3000,0,0.033,0.0330,0
2730130019,2730130,27,602,01,2006,2007,1,101310,11,1.0000,0.59,0.5900,0,0.043,0.0430,0
2730190017,2730190,27,604,02,2006,2006,12,121148,11,1.0000,0.33,0.3300,1,0.031,0.0310,1
2730190018,2730190,27,604,02,2006,2006,12,121148,13,11.7000,0.34,0.3400,1,0.043,0.0430,1
2730190019,2730190,27,604,02,2006,2007,1,101411,11,1.0000,0.29,0.2900,0,0.033,0.0330,1
2730190020,2730190,27,604,02,2006,2007,1,101411,13,12.5000,0.35,0.3500,1,0.039,0.0390,1
2730190021,2730190,27,604,02,2006,2007,2,211317,11,1.0000,0.19,0.1900,0,0.015,0.0150,0
2730190022,2730190,27,604,02,2006,2007,2,211317,13,12.2000,0.21,0.2100,0,0.019,0.0190,0
2730190023,2730190,27,604,02,2006,2007,3,151105,11,1.0000,0.18,0.1800,0,0.018,0.0180,0
2730190024,2730190,27,604,02,2006,2007,3,151105,13,12.5000,0.18,0.1800,0,0.021,0.0210,0
