RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730130011,2730130,27,602,01,2003,2003,9,020936,11,1.0000,0.95,0.9500,1,0.057,0.0570,1
2730130020,2730130,27,602,01,2003,2004,1,151030,13,14.3000,0.38,0.3800,0,0.044,0.0440,0
2730130021,2730130,27,602,01,2003,2004,2,121125,11,1.0000,1.5,1.5000,1,0.12,0.1200,1
2730130022,2730130,27,602,01,2003,2004,2,121125,13,14.4000,0.19,0.1900,0,0.023,0.0230,0
2730130023,2730130,27,602,01,2003,2004,3,160946,11,1.0000,0.54,0.5400,0,0.03,0.0300,0
2730130024,2730130,27,602,01,2003,2004,3,160946,13,14.5000,0.22,0.2200,0,0.02,0.0200,0
2730140001,2730140,27,602,02,2003,2003,4,231116,11,1.0000,0.37,0.3700,0,0.037,0.0370,0
2730140002,2730140,27,602,02,2003,2003,4,231116,13,13.0000,0.24,0.2400,0,0.036,0.0360,0
2730140003,2730140,27,602,02,2003,2003,5,210942,11,1.0000,0.48,0.4800,0,0.047,0.0470,0
2730140004,2730140,27,602,02,2003,2003,5,210942,13,13.0000,0.3,0.3000,0,0.031,0.0310,0
2730140005,2730140,27,602,02,2003,2003,6,110935,11,1.0000,0.33,0.3300,0,0.031,0.0310,0
2730140006,2730140,27,602,02,2003,2003,6,110935,13,12.6000,0.48,0.4800,0,0.053,0.0530,1
2730140007,2730140,27,602,02,2003,2003,7,231242,11,1.0000,0.4,0.4000,0,0.053,0.0530,1
2730140008,2730140,27,602,02,2003,2003,7,231242,13,13.1000,0.44,0.4400,0,0.11,0.1100,1
2730140009,2730140,27,602,02,2003,2003,8,051300,11,1.0000,0.35,0.3500,0,0.038,0.0380,0
2730140010,2730140,27,602,02,2003,2003,8,051300,13,13.2000,0.52,0.5200,0,0.1,0.1000,1
2730140011,2730140,27,602,02,2003,2003,9,021128,11,1.0000,0.7,0.7000,1,0.048,0.0480,0
2730200017,2730200,27,605,01,2003,2003,12,170932,11,1.0000,0.35,0.3500,1,0.037,0.0370,1
2730200018,2730200,27,605,01,2003,2003,12,170932,13,18.3000,0.26,0.2600,0,0.037,0.0370,1
2730200019,2730200,27,605,01,2003,2004,1,150923,11,1.0000,0.43,0.4300,1,0.043,0.0430,1
2730210004,2730210,27,605,02,2003,2003,5,211241,13,38.2000,0.19,0.1900,0,0.024,0.0240,0
2730210005,2730210,27,605,02,2003,2003,6,111042,11,1.0000,0.19,0.1900,0,0.021,0.0210,0
2730210006,2730210,27,605,02,2003,2003,6,111042,13,38.5000,0.18,0.1800,0,0.018,0.0180,0
2730210007,2730210,27,605,02,2003,2003,7,231306,11,1.0000,0.25,0.2500,0,0.035,0.0350,1
2730210008,2730210,27,605,02,2003,2003,7,231306,13,42.5000,0.18,0.1800,0,0.025,0.0250,0
2730210009,2730210,27,605,02,2003,2003,8,051037,11,1.0000,0.27,0.2700,0,0.028,0.0280,0
2730210010,2730210,27,605,02,2003,2003,8,051037,13,39.6000,0.26,0.2600,0,0.027,0.0270,0
2730210011,2730210,27,605,02,2003,2003,9,021021,11,1.0000,0.28,0.2800,0,0.03,0.0300,0
2730210012,2730210,27,605,02,2003,2003,9,021021,13,44.5000,0.18,0.1800,0,0.03,0.0300,0
2730210013,2730210,27,605,02,2003,2003,10,161156,11,1.0000,0.25,0.2500,0,0.034,0.0340,1
2730210014,2730210,27,605,02,2003,2003,10,161156,13,39.7000,0.2,0.2000,0,0.024,0.0240,0
2730210015,2730210,27,605,02,2003,2003,11,181004,11,1.0000,0.35,0.3500,1,0.038,0.0380,1
2730210016,2730210,27,605,02,2003,2003,11,181004,13,39.8000,0.26,0.2600,0,0.029,0.0290,0
2730210017,2730210,27,605,02,2003,2003,12,171010,11,1.0000,0.32,0.3200,1,0.032,0.0320,1
2730210018,2730210,27,605,02,2003,2003,12,171010,13,40.3000,0.21,0.2100,0,0.029,0.0290,0
2730210019,2730210,27,605,02,2003,2004,1,151303,11,1.0000,0.31,0.3100,1,0.036,0.0360,1
2730160023,2730160,27,603,01,2003,2004,3,160911,11,1.0000,0.56,0.5600,0,0.033,0.0330,0
2730160024,2730160,27,603,01,2003,2004,3,160911,13,17.4000,0.29,0.2900,0,0.025,0.0250,0
2730170001,2730170,27,603,02,2003,2003,4,231225,11,1.0000,0.41,0.4100,1,0.03,0.0300,0
2730170002,2730170,27,603,02,2003,2003,4,231225,13,12.8000,0.29,0.2900,0,0.031,0.0310,1
2730170003,2730170,27,603,02,2003,2003,5,211500,11,1.0000,0.35,0.3500,1,0.039,0.0390,1
2730170004,2730170,27,603,02,2003,2003,5,211500,13,12.6000,0.24,0.2400,0,0.028,0.0280,0
2730170005,2730170,27,603,02,2003,2003,6,111210,11,1.0000,0.27,0.2700,0,0.039,0.0390,1
2730170006,2730170,27,603,02,2003,2003,6,111210,13,12.4000,0.39,0.3900,1,0.047,0.0470,1
2730170007,2730170,27,603,02,2003,2003,7,231337,11,1.0000,0.26,0.2600,0,0.041,0.0410,1
2730170008,2730170,27,603,02,2003,2003,7,231337,13,13.1000,0.35,0.3500,1,0.052,0.0520,1
2730170009,2730170,27,603,02,2003,2003,8,051412,11,1.0000,0.29,0.2900,0,0.032,0.0320,1
2730170010,2730170,27,603,02,2003,2003,8,051412,13,12.9000,0.37,0.3700,1,0.043,0.0430,1
2730170011,2730170,27,603,02,2003,2003,9,021249,11,1.0000,0.32,0.3200,1,0.035,0.0350,1
2730170012,2730170,27,603,02,2003,2003,9,021249,13,13.3000,0.29,0.2900,0,0.033,0.0330,1
2730170013,2730170,27,603,02,2003,2003,10,161402,11,1.0000,0.36,0.3600,1,0.036,0.0360,1
2730170014,2730170,27,603,02,2003,2003,10,161402,13,13.7000,0.3,0.3000,0,0.035,0.0350,1
2730170015,2730170,27,603,02,2003,2003,11,181144,11,1.0000,0.36,0.3600,1,0.037,0.0370,1
