RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730030001,2730030,27,601,03,2007,2007,4,241132,11,1.0000,0.23,0.2300,0,0.024,0.0240,0
2730070011,2730070,27,601,54,2007,2008,2,070931,11,1.0000,2.1,2.1000,,0.14,0.1400,
2730080002,2730080,27,601,55,2007,2007,5,170923,11,1.0000,0.96,0.9600,,0.081,0.0810,
2730080005,2730080,27,601,55,2007,2007,8,021047,11,1.0000,0.67,0.6700,,0.14,0.1400,
2730080008,2730080,27,601,55,2007,2007,11,080936,11,1.0000,0.82,0.8200,,0.11,0.1100,
2730080011,2730080,27,601,55,2007,2008,2,070943,11,1.0000,1.6,1.6000,,0.12,0.1200,
2730090002,2730090,27,601,56,2007,2007,5,170818,11,1.0000,2.8,2.8000,,0.17,0.1700,
2730090005,2730090,27,601,56,2007,2007,8,020830,11,1.0000,2.3,2.3000,,0.15,0.1500,
2730090008,2730090,27,601,56,2007,2007,11,080814,11,1.0000,3.4,3.4000,,0.16,0.1600,
2730090011,2730090,27,601,56,2007,2008,2,070815,11,1.0000,3.2,3.2000,,0.13,0.1300,
2730130001,2730130,27,602,01,2007,2007,4,241010,11,1.0000,0.71,0.7100,1,0.059,0.0590,1
2730130002,2730130,27,602,01,2007,2007,4,241010,13,14.8000,0.2,0.2000,0,0.023,0.0230,0
2730130003,2730130,27,602,01,2007,2007,5,221211,11,1.0000,0.6,0.6000,0,0.052,0.0520,1
2730130004,2730130,27,602,01,2007,2007,5,221211,13,14.0000,0.19,0.1900,0,0.032,0.0320,0
2730130005,2730130,27,602,01,2007,2007,6,051211,11,1.0000,0.66,0.6600,1,0.077,0.0770,1
2730130006,2730130,27,602,01,2007,2007,6,051211,13,14.4000,0.31,0.3100,0,0.039,0.0390,0
2730130007,2730130,27,602,01,2007,2007,7,101034,11,1.0000,0.63,0.6300,1,0.055,0.0550,1
2730130008,2730130,27,602,01,2007,2007,7,101034,13,14.3000,0.37,0.3700,0,0.034,0.0340,0
2730130009,2730130,27,602,01,2007,2007,8,071408,11,1.0000,0.52,0.5200,0,0.046,0.0460,0
2730170004,2730170,27,603,02,2007,2007,5,221338,13,12.8000,0.21,0.2100,0,0.025,0.0250,0
2730170005,2730170,27,603,02,2007,2007,6,051338,11,1.0000,0.28,0.2800,0,0.025,0.0250,0
2730170006,2730170,27,603,02,2007,2007,6,051338,13,12.7000,0.4,0.4000,1,0.034,0.0340,1
2730170007,2730170,27,603,02,2007,2007,7,101455,11,1.0000,0.43,0.4300,1,0.038,0.0380,1
2730170008,2730170,27,603,02,2007,2007,7,101455,13,13.3000,0.42,0.4200,1,0.047,0.0470,1
2730170009,2730170,27,603,02,2007,2007,8,071410,11,1.0000,0.25,0.2500,0,0.033,0.0330,1
2730130010,2730130,27,602,01,2007,2007,8,071408,13,14.2000,0.36,0.3600,0,0.063,0.0630,1
2730130011,2730130,27,602,01,2007,2007,9,040925,11,1.0000,0.58,0.5800,0,0.085,0.0850,1
2730130012,2730130,27,602,01,2007,2007,9,040925,13,14.1000,0.32,0.3200,0,0.04,0.0400,0
2730130013,2730130,27,602,01,2007,2007,10,021036,11,1.0000,0.43,0.4300,0,0.072,0.0720,1
2730130014,2730130,27,602,01,2007,2007,10,021036,13,14.7000,0.28,0.2800,0,0.04,0.0400,0
2730130015,2730130,27,602,01,2007,2007,11,060928,11,1.0000,0.39,0.3900,0,0.044,0.0440,0
2730130016,2730130,27,602,01,2007,2007,11,060928,13,14.6000,0.31,0.3100,0,0.041,0.0410,0
2730010019,2730010,27,601,01,2007,2008,1,221050,11,1.0000,1,1.0000,0,0.065,0.0650,0
2730010020,2730010,27,601,01,2007,2008,1,221050,13,12.8000,0.33,0.3300,0,0.039,0.0390,0
2730140015,2730140,27,602,02,2007,2007,11,061102,11,1.0000,0.29,0.2900,0,0.038,0.0380,0
2730140016,2730140,27,602,02,2007,2007,11,061102,13,13.1000,0.26,0.2600,0,0.04,0.0400,0
2730140017,2730140,27,602,02,2007,2007,12,061111,11,1.0000,0.43,0.4300,0,0.034,0.0340,0
2730140018,2730140,27,602,02,2007,2007,12,061111,13,13.2000,0.4,0.4000,0,0.035,0.0350,0
2730140019,2730140,27,602,02,2007,2008,1,221325,11,1.0000,0.41,0.4100,0,0.037,0.0370,0
2730010021,2730010,27,601,01,2007,2008,2,151207,11,1.0000,0.67,0.6700,0,0.054,0.0540,0
2730010022,2730010,27,601,01,2007,2008,2,151207,13,12.0000,0.51,0.5100,0,0.045,0.0450,0
2730010023,2730010,27,601,01,2007,2008,3,040950,11,1.0000,0.62,0.6200,0,0.052,0.0520,0
2730010024,2730010,27,601,01,2007,2008,3,040950,13,12.5000,0.29,0.2900,0,0.033,0.0330,0
2730020001,2730020,27,601,02,2007,2007,4,241104,11,1.0000,0.85,0.8500,0,0.035,0.0350,0
2730020002,2730020,27,601,02,2007,2007,4,241104,13,10.5000,0.25,0.2500,0,0.023,0.0230,0
2730020003,2730020,27,601,02,2007,2007,5,220950,11,1.0000,0.9,0.9000,0,0.058,0.0580,0
2730020004,2730020,27,601,02,2007,2007,5,220950,13,10.0000,0.37,0.3700,0,0.04,0.0400,0
2730020005,2730020,27,601,02,2007,2007,6,050950,11,1.0000,0.74,0.7400,0,0.053,0.0530,0
2730020006,2730020,27,601,02,2007,2007,6,050950,13,10.2000,0.32,0.3200,0,0.039,0.0390,0
2730020007,2730020,27,601,02,2007,2007,7,101249,11,1.0000,1,1.0000,0,0.081,0.0810,0
2730020008,2730020,27,601,02,2007,2007,7,101249,13,10.3000,0.87,0.8700,0,0.11,0.1100,1
2730020009,2730020,27,601,02,2007,2007,8,071506,11,1.0000,0.55,0.5500,0,0.057,0.0570,0
2730020010,2730020,27,601,02,2007,2007,8,071506,13,10.0000,0.48,0.4800,0,0.08,0.0800,0
2730020011,2730020,27,601,02,2007,2007,9,041020,11,1.0000,0.76,0.7600,0,0.097,0.0970,1
2730020012,2730020,27,601,02,2007,2007,9,041020,13,10.0000,0.63,0.6300,0,0.16,0.1600,1
2730020013,2730020,27,601,02,2007,2007,10,021405,11,1.0000,0.48,0.4800,0,0.071,0.0710,0
2730020014,2730020,27,601,02,2007,2007,10,021405,13,10.5000,0.35,0.3500,0,0.059,0.0590,0
2730020015,2730020,27,601,02,2007,2007,11,061028,11,1.0000,0.45,0.4500,0,0.046,0.0460,0
2730020016,2730020,27,601,02,2007,2007,11,061028,13,10.2000,0.32,0.3200,0,0.044,0.0440,0
2730020017,2730020,27,601,02,2007,2007,12,061047,11,1.0000,0.7,0.7000,0,0.045,0.0450,0
2730020018,2730020,27,601,02,2007,2007,12,061047,13,10.0000,0.48,0.4800,0,0.044,0.0440,0
2730020019,2730020,27,601,02,2007,2008,1,221309,11,1.0000,0.57,0.5700,0,0.041,0.0410,0
2730020020,2730020,27,601,02,2007,2008,1,221309,13,10.3000,0.35,0.3500,0,0.037,0.0370,0
2730020021,2730020,27,601,02,2007,2008,2,150935,11,1.0000,0.57,0.5700,0,0.047,0.0470,0
2730020022,2730020,27,601,02,2007,2008,2,150935,13,10.9000,0.56,0.5600,0,0.05,0.0500,0
2730020023,2730020,27,601,02,2007,2008,3,041023,11,1.0000,0.52,0.5200,0,0.044,0.0440,0
2730020024,2730020,27,601,02,2007,2008,3,041023,13,10.0000,0.38,0.3800,0,0.032,0.0320,0
2730130017,2730130,27,602,01,2007,2007,12,060938,11,1.0000,0.64,0.6400,1,0.052,0.0520,1
2730130018,2730130,27,602,01,2007,2007,12,060938,13,14.7000,0.43,0.4300,0,0.032,0.0320,0
2730130019,2730130,27,602,01,2007,2008,1,221017,11,1.0000,0.54,0.5400,0,0.038,0.0380,0
2730130020,2730130,27,602,01,2007,2008,1,221017,13,14.9000,0.3,0.3000,0,0.028,0.0280,0
2730130021,2730130,27,602,01,2007,2008,2,151033,11,1.0000,0.46,0.4600,0,0.04,0.0400,0
2730130022,2730130,27,602,01,2007,2008,2,151033,13,14.5000,0.38,0.3800,0,0.034,0.0340,0
2730130023,2730130,27,602,01,2007,2008,3,040924,11,1.0000,0.65,0.6500,1,0.06,0.0600,1
2730130024,2730130,27,602,01,2007,2008,3,040924,13,14.4000,0.26,0.2600,0,0.035,0.0350,0
2730140001,2730140,27,602,02,2007,2007,4,240945,11,1.0000,0.34,0.3400,0,0.027,0.0270,0
2730140002,2730140,27,602,02,2007,2007,4,240945,13,13.5000,0.22,0.2200,0,0.027,0.0270,0
2730140003,2730140,27,602,02,2007,2007,5,220926,11,1.0000,0.48,0.4800,0,0.043,0.0430,0
2730140004,2730140,27,602,02,2007,2007,5,220926,13,12.9000,0.22,0.2200,0,0.031,0.0310,0
