RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730140006,2730140,27,602,02,2004,2004,6,091056,13,10.0000,0.37,0.3700,0,0.057,0.0570,1
2730140007,2730140,27,602,02,2004,2004,7,131323,11,1.0000,0.45,0.4500,0,0.059,0.0590,1
2730140008,2730140,27,602,02,2004,2004,7,131323,13,10.0000,0.5,0.5000,0,0.098,0.0980,1
2730140009,2730140,27,602,02,2004,2004,8,021045,11,1.0000,0.3,0.3000,0,0.065,0.0650,1
2730140010,2730140,27,602,02,2004,2004,8,021045,13,10.0000,0.35,0.3500,0,0.072,0.0720,1
2730140011,2730140,27,602,02,2004,2004,9,081310,11,1.0000,0.52,0.5200,0,0.04,0.0400,0
2730140012,2730140,27,602,02,2004,2004,9,081310,13,10.0000,0.39,0.3900,0,0.025,0.0250,0
2730140013,2730140,27,602,02,2004,2004,10,071426,11,1.0000,0.35,0.3500,0,0.057,0.0570,1
2730140014,2730140,27,602,02,2004,2004,10,071426,13,10.0000,0.22,0.2200,0,0.039,0.0390,0
2730140015,2730140,27,602,02,2004,2004,11,041125,11,1.0000,0.49,0.4900,0,0.053,0.0530,1
2730140016,2730140,27,602,02,2004,2004,11,041125,13,10.0000,0.33,0.3300,0,0.046,0.0460,0
2730140017,2730140,27,602,02,2004,2004,12,071122,11,1.0000,0.45,0.4500,0,0.059,0.0590,1
2730140018,2730140,27,602,02,2004,2004,12,071122,13,10.0000,0.26,0.2600,0,0.034,0.0340,0
2730140019,2730140,27,602,02,2004,2005,1,181246,11,1.0000,0.5,0.5000,0,0.048,0.0480,0
2730140020,2730140,27,602,02,2004,2005,1,181246,13,10.0000,0.37,0.3700,0,0.043,0.0430,0
2730140021,2730140,27,602,02,2004,2005,2,041117,11,1.0000,0.43,0.4300,0,0.048,0.0480,0
2730140022,2730140,27,602,02,2004,2005,2,041117,13,10.0000,0.28,0.2800,0,0.039,0.0390,0
2730140023,2730140,27,602,02,2004,2005,3,031045,11,1.0000,0.47,0.4700,0,0.045,0.0450,0
2730140024,2730140,27,602,02,2004,2005,3,031045,13,10.0000,0.25,0.2500,0,0.038,0.0380,0
2730150001,2730150,27,602,03,2004,2004,4,290845,11,1.0000,0.35,0.3500,0,0.023,0.0230,0
2730150002,2730150,27,602,03,2004,2004,4,290845,13,10.0000,0.43,0.4300,0,0.029,0.0290,0
2730150003,2730150,27,602,03,2004,2004,5,110847,11,1.0000,0.58,0.5800,0,0.045,0.0450,0
2730150004,2730150,27,602,03,2004,2004,5,110847,13,10.0000,0.34,0.3400,0,0.031,0.0310,0
2730150005,2730150,27,602,03,2004,2004,6,090836,11,1.0000,0.5,0.5000,0,0.055,0.0550,1
2730030017,2730030,27,601,03,2004,2004,12,071145,11,1.0000,0.28,0.2800,0,0.053,0.0530,0
2730030018,2730030,27,601,03,2004,2004,12,071145,13,10.0000,0.27,0.2700,0,0.043,0.0430,0
2730030019,2730030,27,601,03,2004,2005,1,181302,11,1.0000,0.44,0.4400,0,0.065,0.0650,0
2730030020,2730030,27,601,03,2004,2005,1,181302,13,10.0000,0.36,0.3600,0,0.039,0.0390,0
2730030021,2730030,27,601,03,2004,2005,2,041016,11,1.0000,0.42,0.4200,0,0.047,0.0470,0
2730030022,2730030,27,601,03,2004,2005,2,041016,13,10.0000,0.29,0.2900,0,0.048,0.0480,0
2730030023,2730030,27,601,03,2004,2005,3,031102,11,1.0000,0.44,0.4400,0,0.037,0.0370,0
2730030024,2730030,27,601,03,2004,2005,3,031102,13,10.0000,0.3,0.3000,0,0.038,0.0380,0
2730040002,2730040,27,601,51,2004,2004,5,181045,11,1.0000,1.5,1.5000,,0.15,0.1500,
2730130017,2730130,27,602,01,2004,2004,12,071003,11,1.0000,0.61,0.6100,1,0.072,0.0720,1
2730130018,2730130,27,602,01,2004,2004,12,071003,13,10.0000,0.23,0.2300,0,0.031,0.0310,0
2730130019,2730130,27,602,01,2004,2005,1,181036,11,1.0000,0.77,0.7700,1,0.069,0.0690,1
2730130020,2730130,27,602,01,2004,2005,1,181036,13,10.0000,0.53,0.5300,0,0.053,0.0530,1
2730130021,2730130,27,602,01,2004,2005,2,041231,11,1.0000,0.37,0.3700,0,0.042,0.0420,0
2730130022,2730130,27,602,01,2004,2005,2,041231,13,10.0000,0.28,0.2800,0,0.04,0.0400,0
2730130023,2730130,27,602,01,2004,2005,3,030941,11,1.0000,0.54,0.5400,0,0.042,0.0420,0
2730130024,2730130,27,602,01,2004,2005,3,030941,13,10.0000,0.3,0.3000,0,0.038,0.0380,0
2730140001,2730140,27,602,02,2004,2004,4,291052,11,1.0000,0.4,0.4000,0,0.029,0.0290,0
2730140002,2730140,27,602,02,2004,2004,4,291052,13,10.0000,0.29,0.2900,0,0.029,0.0290,0
2730140003,2730140,27,602,02,2004,2004,5,110928,11,1.0000,0.57,0.5700,0,0.046,0.0460,0
2730140004,2730140,27,602,02,2004,2004,5,110928,13,10.0000,0.25,0.2500,0,0.028,0.0280,0
2730140005,2730140,27,602,02,2004,2004,6,091056,11,1.0000,0.76,0.7600,1,0.074,0.0740,1
2730010010,2730010,27,601,01,2004,2004,8,021127,13,10.0000,0.39,0.3900,0,0.077,0.0770,0
2730010011,2730010,27,601,01,2004,2004,9,081210,11,1.0000,0.84,0.8400,0,0.066,0.0660,0
2730010012,2730010,27,601,01,2004,2004,9,081210,13,10.0000,0.64,0.6400,0,0.05,0.0500,0
2730010013,2730010,27,601,01,2004,2004,10,071132,11,1.0000,0.69,0.6900,0,0.083,0.0830,0
2730010014,2730010,27,601,01,2004,2004,10,071132,13,10.0000,0.27,0.2700,0,0.044,0.0440,0
2730010015,2730010,27,601,01,2004,2004,11,041029,11,1.0000,1.2,1.2000,1,0.1,0.1000,1
2730010016,2730010,27,601,01,2004,2004,11,041029,13,10.0000,0.36,0.3600,0,0.051,0.0510,0
2730010017,2730010,27,601,01,2004,2004,12,071031,11,1.0000,1.1,1.1000,1,0.1,0.1000,1
2730010018,2730010,27,601,01,2004,2004,12,071031,13,10.0000,0.28,0.2800,0,0.051,0.0510,0
2730010019,2730010,27,601,01,2004,2005,1,181059,11,1.0000,1.2,1.2000,1,0.1,0.1000,1
2730010020,2730010,27,601,01,2004,2005,1,181059,13,10.0000,0.39,0.3900,0,0.045,0.0450,0
2730010021,2730010,27,601,01,2004,2005,2,041103,11,1.0000,1.2,1.2000,1,0.088,0.0880,0
2730010022,2730010,27,601,01,2004,2005,2,041103,13,10.0000,0.48,0.4800,0,0.04,0.0400,0
2730010023,2730010,27,601,01,2004,2005,3,031002,11,1.0000,1.2,1.2000,1,0.081,0.0810,0
2730010024,2730010,27,601,01,2004,2005,3,031002,13,10.0000,0.33,0.3300,0,0.048,0.0480,0
2730020001,2730020,27,601,02,2004,2004,4,291033,11,1.0000,0.78,0.7800,0,0.055,0.0550,0
2730020002,2730020,27,601,02,2004,2004,4,291033,13,10.0000,0.35,0.3500,0,0.027,0.0270,0
2730020003,2730020,27,601,02,2004,2004,5,110948,11,1.0000,0.62,0.6200,0,0.053,0.0530,0
2730020004,2730020,27,601,02,2004,2004,5,110948,13,10.0000,0.28,0.2800,0,0.026,0.0260,0
2730020005,2730020,27,601,02,2004,2004,6,091034,11,1.0000,0.8,0.8000,0,0.077,0.0770,0
2730020006,2730020,27,601,02,2004,2004,6,091034,13,10.0000,0.44,0.4400,0,0.065,0.0650,0
2730020007,2730020,27,601,02,2004,2004,7,131242,11,1.0000,0.82,0.8200,0,0.1,0.1000,1
2730030005,2730030,27,601,03,2004,2004,6,091116,11,1.0000,0.76,0.7600,0,0.082,0.0820,0
2730030006,2730030,27,601,03,2004,2004,6,091116,13,10.0000,0.42,0.4200,0,0.06,0.0600,0
2730150006,2730150,27,602,03,2004,2004,6,090836,13,10.0000,0.47,0.4700,0,0.059,0.0590,1
2730150007,2730150,27,602,03,2004,2004,7,130920,11,1.0000,0.58,0.5800,0,0.07,0.0700,1
2730150008,2730150,27,602,03,2004,2004,7,130920,13,10.0000,0.44,0.4400,0,0.079,0.0790,1
2730150009,2730150,27,602,03,2004,2004,8,020910,11,1.0000,0.56,0.5600,0,0.057,0.0570,1
2730150010,2730150,27,602,03,2004,2004,8,020910,13,10.0000,0.44,0.4400,0,0.054,0.0540,1
2730150011,2730150,27,602,03,2004,2004,9,081044,11,1.0000,0.44,0.4400,0,0.027,0.0270,0
2730150012,2730150,27,602,03,2004,2004,9,081044,13,10.0000,0.47,0.4700,0,0.027,0.0270,0
2730150013,2730150,27,602,03,2004,2004,10,070852,11,1.0000,0.34,0.3400,0,0.05,0.0500,0
2730150014,2730150,27,602,03,2004,2004,10,070852,13,10.0000,0.34,0.3400,0,0.041,0.0410,0
2730150015,2730150,27,602,03,2004,2004,11,040855,11,1.0000,0.36,0.3600,0,0.042,0.0420,0
2730150016,2730150,27,602,03,2004,2004,11,040855,13,10.0000,0.35,0.3500,0,0.042,0.0420,0
2730150017,2730150,27,602,03,2004,2004,12,070902,11,1.0000,0.41,0.4100,0,0.045,0.0450,0
2730150018,2730150,27,602,03,2004,2004,12,070902,13,10.0000,0.27,0.2700,0,0.033,0.0330,0
2730150019,2730150,27,602,03,2004,2005,1,181322,11,1.0000,0.31,0.3100,0,0.036,0.0360,0
2730150020,2730150,27,602,03,2004,2005,1,181322,13,10.0000,0.35,0.3500,0,0.041,0.0410,0
2730150021,2730150,27,602,03,2004,2005,2,040909,11,1.0000,0.29,0.2900,0,0.039,0.0390,0
2730030007,2730030,27,601,03,2004,2004,7,131340,11,1.0000,0.61,0.6100,0,0.074,0.0740,0
2730030008,2730030,27,601,03,2004,2004,7,131340,13,10.0000,0.68,0.6800,0,0.16,0.1600,1
2730030009,2730030,27,601,03,2004,2004,8,021005,11,1.0000,0.36,0.3600,0,0.076,0.0760,0
2730030010,2730030,27,601,03,2004,2004,8,021005,13,10.0000,0.39,0.3900,0,0.097,0.0970,1
2730030011,2730030,27,601,03,2004,2004,9,081329,11,1.0000,0.78,0.7800,0,0.028,0.0280,0
2730030012,2730030,27,601,03,2004,2004,9,081329,13,10.0000,0.43,0.4300,0,0.034,0.0340,0
2730030013,2730030,27,601,03,2004,2004,10,071405,11,1.0000,0.32,0.3200,0,0.045,0.0450,0
2730030014,2730030,27,601,03,2004,2004,10,071405,13,10.0000,0.27,0.2700,0,0.041,0.0410,0
2730030015,2730030,27,601,03,2004,2004,11,041143,11,1.0000,0.42,0.4200,0,0.046,0.0460,0
2730030016,2730030,27,601,03,2004,2004,11,041143,13,10.0000,0.41,0.4100,0,0.06,0.0600,0
2730130006,2730130,27,602,01,2004,2004,6,090940,13,10.0000,0.32,0.3200,0,0.057,0.0570,1
2730130007,2730130,27,602,01,2004,2004,7,131057,11,1.0000,0.47,0.4700,0,0.062,0.0620,1
2730130008,2730130,27,602,01,2004,2004,7,131057,13,10.0000,0.36,0.3600,0,0.063,0.0630,1
2730130009,2730130,27,602,01,2004,2004,8,021310,11,1.0000,0.41,0.4100,0,0.072,0.0720,1
2730130010,2730130,27,602,01,2004,2004,8,021310,13,10.0000,0.2,0.2000,0,0.048,0.0480,0
2730130011,2730130,27,602,01,2004,2004,9,081142,11,1.0000,0.56,0.5600,0,0.031,0.0310,0
2730130012,2730130,27,602,01,2004,2004,9,081142,13,10.0000,0.49,0.4900,0,0.032,0.0320,0
2730130013,2730130,27,602,01,2004,2004,10,071030,11,1.0000,0.46,0.4600,0,0.06,0.0600,1
2730130014,2730130,27,602,01,2004,2004,10,071030,13,10.0000,0.26,0.2600,0,0.04,0.0400,0
2730130015,2730130,27,602,01,2004,2004,11,040957,11,1.0000,0.66,0.6600,1,0.055,0.0550,1
2730130016,2730130,27,602,01,2004,2004,11,040957,13,10.0000,0.33,0.3300,0,0.041,0.0410,0
2730020008,2730020,27,601,02,2004,2004,7,131242,13,10.0000,0.44,0.4400,0,0.086,0.0860,0
2730020009,2730020,27,601,02,2004,2004,8,021406,11,1.0000,0.4,0.4000,0,0.082,0.0820,0
2730020010,2730020,27,601,02,2004,2004,8,021406,13,10.0000,0.29,0.2900,0,0.058,0.0580,0
2730020011,2730020,27,601,02,2004,2004,9,081243,11,1.0000,0.4,0.4000,0,0.027,0.0270,0
2730020012,2730020,27,601,02,2004,2004,9,081243,13,10.0000,0.42,0.4200,0,0.032,0.0320,0
2730020013,2730020,27,601,02,2004,2004,10,071406,11,1.0000,0.6,0.6000,0,0.063,0.0630,0
2730020014,2730020,27,601,02,2004,2004,10,071406,13,10.0000,0.28,0.2800,0,0.044,0.0440,0
2730020015,2730020,27,601,02,2004,2004,11,041100,11,1.0000,0.4,0.4000,0,0.055,0.0550,0
2730020016,2730020,27,601,02,2004,2004,11,041100,13,10.0000,0.47,0.4700,0,0.068,0.0680,0
2730020017,2730020,27,601,02,2004,2004,12,071102,11,1.0000,0.55,0.5500,0,0.064,0.0640,0
2730020018,2730020,27,601,02,2004,2004,12,071102,13,10.0000,0.37,0.3700,0,0.046,0.0460,0
2730020019,2730020,27,601,02,2004,2005,1,181209,11,1.0000,0.57,0.5700,0,0.053,0.0530,0
2730020020,2730020,27,601,02,2004,2005,1,181209,13,10.0000,0.39,0.3900,0,0.047,0.0470,0
