RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730010005,2730010,27,601,01,2008,2008,6,101005,11,1.0000,0.79,0.7900,0,0.12,0.1200,1
2730010006,2730010,27,601,01,2008,2008,6,101005,13,12.0000,0.36,0.3600,0,0.039,0.0390,0
2730010007,2730010,27,601,01,2008,2008,7,091020,11,1.0000,1.4,1.4000,1,0.14,0.1400,1
2730010008,2730010,27,601,01,2008,2008,7,091020,13,12.3000,0.39,0.3900,0,0.06,0.0600,0
2730010009,2730010,27,601,01,2008,2008,8,051020,11,1.0000,1,1.0000,0,0.11,0.1100,1
2730010010,2730010,27,601,01,2008,2008,8,051020,13,12.5000,0.49,0.4900,0,0.12,0.1200,1
2730010011,2730010,27,601,01,2008,2008,9,091000,11,1.0000,0.69,0.6900,0,0.086,0.0860,0
2730010012,2730010,27,601,01,2008,2008,9,091000,13,12.7000,0.31,0.3100,0,0.055,0.0550,0
2730010013,2730010,27,601,01,2008,2008,10,070955,11,1.0000,0.82,0.8200,0,0.085,0.0850,0
2730010014,2730010,27,601,01,2008,2008,10,070955,13,13.4000,0.32,0.3200,0,0.1,0.1000,1
2730010015,2730010,27,601,01,2008,2008,11,050940,11,1.0000,1.1,1.1000,1,0.094,0.0940,1
2730010016,2730010,27,601,01,2008,2008,11,050940,13,12.1000,0.32,0.3200,0,0.041,0.0410,0
2730010017,2730010,27,601,01,2008,2008,12,020925,11,1.0000,1.3,1.3000,1,0.074,0.0740,0
2730010018,2730010,27,601,01,2008,2008,12,020925,13,12.5000,0.63,0.6300,0,0.025,0.0250,0
2730010019,2730010,27,601,01,2008,2009,1,061010,11,1.0000,0.99,0.9900,0,0.065,0.0650,0
2730010002,2730010,27,601,01,2008,2008,4,231000,13,12.4000,0.27,0.2700,0,0.049,0.0490,0
2730010003,2730010,27,601,01,2008,2008,5,261035,11,1.0000,2,2.0000,1,0.16,0.1600,1
2730010004,2730010,27,601,01,2008,2008,5,261035,13,13.5000,0.45,0.4500,0,0.057,0.0570,0
2730010001,2730010,27,601,01,2008,2008,4,231000,11,1.0000,0.71,0.7100,0,0.058,0.0580,0
2730160010,2730160,27,603,01,2008,2008,8,051155,13,16.2000,0.48,0.4800,0,0.14,0.1400,1
2730160011,2730160,27,603,01,2008,2008,9,090850,11,1.0000,0.23,0.2300,0,0.029,0.0290,0
2730160012,2730160,27,603,01,2008,2008,9,090850,13,17.0000,0.26,0.2600,0,0.09,0.0900,1
2730160013,2730160,27,603,01,2008,2008,10,070835,11,1.0000,0.29,0.2900,0,0.039,0.0390,0
2730160014,2730160,27,603,01,2008,2008,10,070835,13,16.2000,0.32,0.3200,0,0.044,0.0440,0
2730160015,2730160,27,603,01,2008,2008,11,050845,11,1.0000,0.25,0.2500,0,0.032,0.0320,0
2730160016,2730160,27,603,01,2008,2008,11,050845,13,16.4000,0.25,0.2500,0,0.038,0.0380,0
2730160017,2730160,27,603,01,2008,2008,12,020830,11,1.0000,0.48,0.4800,0,0.04,0.0400,0
2730160018,2730160,27,603,01,2008,2008,12,020830,13,17.7000,0.38,0.3800,0,0.029,0.0290,0
2730160019,2730160,27,603,01,2008,2009,1,060845,11,1.0000,0.4,0.4000,0,0.03,0.0300,0
2730040005,2730040,27,601,51,2008,2008,8,060915,11,1.0000,1.8,1.8000,,0.19,0.1900,
2730040008,2730040,27,601,51,2008,2008,11,140943,11,1.0000,1.6,1.6000,,0.12,0.1200,
2730040011,2730040,27,601,51,2008,2009,2,130955,11,1.0000,1.7,1.7000,,0.11,0.1100,
2730050002,2730050,27,601,52,2008,2008,5,080825,11,1.0000,0.84,0.8400,,0.038,0.0380,
2730050005,2730050,27,601,52,2008,2008,8,060835,11,1.0000,1.4,1.4000,,0.18,0.1800,
2730050008,2730050,27,601,52,2008,2008,11,140822,11,1.0000,0.81,0.8100,,0.073,0.0730,
2730050011,2730050,27,601,52,2008,2009,2,130822,11,1.0000,1.1,1.1000,,0.079,0.0790,
2730060002,2730060,27,601,53,2008,2008,5,080840,11,1.0000,1.3,1.3000,,0.086,0.0860,
2730060005,2730060,27,601,53,2008,2008,8,060855,11,1.0000,0.62,0.6200,,0.11,0.1100,
2730060008,2730060,27,601,53,2008,2008,11,140835,11,1.0000,0.7,0.7000,,0.07,0.0700,
2730060011,2730060,27,601,53,2008,2009,2,130835,11,1.0000,0.86,0.8600,,0.081,0.0810,
2730070002,2730070,27,601,54,2008,2008,5,080912,11,1.0000,1.8,1.8000,,0.13,0.1300,
2730070005,2730070,27,601,54,2008,2008,8,060940,11,1.0000,1.2,1.2000,,0.24,0.2400,
2730070008,2730070,27,601,54,2008,2008,11,140905,11,1.0000,1,1.0000,,0.11,0.1100,
2730070011,2730070,27,601,54,2008,2009,2,130908,11,1.0000,1.1,1.1000,,0.11,0.1100,
2730080002,2730080,27,601,55,2008,2008,5,080920,11,1.0000,1.1,1.1000,,0.073,0.0730,
2730080005,2730080,27,601,55,2008,2008,8,060950,11,1.0000,0.92,0.9200,,0.22,0.2200,
2730080008,2730080,27,601,55,2008,2008,11,140910,11,1.0000,1.3,1.3000,,0.12,0.1200,
2730080011,2730080,27,601,55,2008,2009,2,130915,11,1.0000,1.4,1.4000,,0.11,0.1100,
2730090002,2730090,27,601,56,2008,2008,5,080815,11,1.0000,3.9,3.9000,,0.21,0.2100,
2730090005,2730090,27,601,56,2008,2008,8,060815,11,1.0000,2.9,2.9000,,0.29,0.2900,
2730090008,2730090,27,601,56,2008,2008,11,140810,11,1.0000,2,2.0000,,0.12,0.1200,
2730090011,2730090,27,601,56,2008,2009,2,130810,11,1.0000,2.5,2.5000,,0.12,0.1200,
2730130001,2730130,27,602,01,2008,2008,4,230935,11,1.0000,0.42,0.4200,0,0.047,0.0470,0
2730150022,2730150,27,602,03,2008,2009,2,030825,13,12.8000,0.24,0.2400,0,0.036,0.0360,0
2730150023,2730150,27,602,03,2008,2009,3,031110,11,1.0000,0.21,0.2100,0,0.025,0.0250,0
2730150024,2730150,27,602,03,2008,2009,3,031110,13,13.3000,0.34,0.3400,0,0.031,0.0310,0
2730160001,2730160,27,603,01,2008,2008,4,230855,11,1.0000,0.38,0.3800,0,0.039,0.0390,0
2730160002,2730160,27,603,01,2008,2008,4,230855,13,17.4000,0.23,0.2300,0,0.027,0.0270,0
2730160003,2730160,27,603,01,2008,2008,5,260900,11,1.0000,0.56,0.5600,0,0.054,0.0540,1
2730160004,2730160,27,603,01,2008,2008,5,260900,13,17.3000,0.23,0.2300,0,0.03,0.0300,0
2730160005,2730160,27,603,01,2008,2008,6,100910,11,1.0000,0.41,0.4100,0,0.054,0.0540,1
2730160006,2730160,27,603,01,2008,2008,6,100910,13,16.9000,0.11,0.1100,0,0.039,0.0390,0
2730160007,2730160,27,603,01,2008,2008,7,090857,11,1.0000,0.69,0.6900,1,0.051,0.0510,1
2730160008,2730160,27,603,01,2008,2008,7,090857,13,16.5000,0.29,0.2900,0,0.03,0.0300,0
2730160009,2730160,27,603,01,2008,2008,8,051155,11,1.0000,0.35,0.3500,0,0.037,0.0370,0
2730020003,2730020,27,601,02,2008,2008,5,261200,11,1.0000,1.3,1.3000,1,0.11,0.1100,1
2730020004,2730020,27,601,02,2008,2008,5,261200,13,9.8000,0.57,0.5700,0,0.026,0.0260,0
2730020005,2730020,27,601,02,2008,2008,6,101035,11,1.0000,0.79,0.7900,0,0.11,0.1100,1
2730020006,2730020,27,601,02,2008,2008,6,101035,13,9.8000,0.26,0.2600,0,0.042,0.0420,0
