RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730020001,2730020,27,601,02,2011,2011,7,051250,11,1.0000,0.74,0.7400,0,0.053,0.0530,0
2730020001,2730020,27,601,02,2011,2011,7,051250,13,9.7000,0.42,0.4200,0,0.047,0.0470,0
2730020001,2730020,27,601,02,2011,2011,8,051345,11,1.0000,0.33,0.3300,0,0.035,0.0350,0
2730020001,2730020,27,601,02,2011,2011,8,051345,13,10.4000,0.36,0.3600,0,0.045,0.0450,0
2730020001,2730020,27,601,02,2011,2011,9,131202,11,1.0000,0.38,0.3800,0,0.02,0.0200,0
2730020001,2730020,27,601,02,2011,2011,9,131202,13,10.5000,0.37,0.3700,0,0.042,0.0420,0
2730020001,2730020,27,601,02,2011,2011,10,051232,11,1.0000,0.59,0.5900,0,0.06,0.0600,0
2730020001,2730020,27,601,02,2011,2011,10,051232,13,10.4000,0.35,0.3500,0,0.051,0.0510,0
2730020001,2730020,27,601,02,2011,2011,11,081108,11,1.0000,0.37,0.3700,0,0.049,0.0490,0
2730020001,2730020,27,601,02,2011,2011,11,081108,13,10.2000,0.28,0.2800,0,0.043,0.0430,0
2730020001,2730020,27,601,02,2011,2011,12,061126,11,1.0000,0.53,0.5300,0,0.053,0.0530,0
2730020001,2730020,27,601,02,2011,2011,12,061126,13,10.3000,0.38,0.3800,0,0.055,0.0550,0
2730020001,2730020,27,601,02,2011,2012,1,131210,11,1.0000,0.48,0.4800,0,0.037,0.0370,0
2730020001,2730020,27,601,02,2011,2012,1,131210,13,9.8000,0.49,0.4900,0,0.038,0.0380,0
2730020001,2730020,27,601,02,2011,2012,2,061347,11,1.0000,0.47,0.4700,0,0.034,0.0340,0
2730020001,2730020,27,601,02,2011,2012,2,061347,13,10.3000,0.3,0.3000,0,0.024,0.0240,0
2730020001,2730020,27,601,02,2011,2012,3,011117,11,1.0000,0.46,0.4600,0,0.051,0.0510,0
2730020001,2730020,27,601,02,2011,2012,3,011117,13,10.2000,0.27,0.2700,0,0.034,0.0340,0
2730020001,2730020,27,601,02,2011,2011,5,101205,11,1.0000,0.47,0.4700,0,0.05,0.0500,0
2730030001,2730030,27,601,03,2011,2011,4,121144,11,1.0000,0.46,0.4600,0,0.053,0.0530,0
2730030001,2730030,27,601,03,2011,2011,4,121144,13,14.4000,0.28,0.2800,0,0.029,0.0290,0
