RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730170017,2730170,27,603,02,2005,2005,12,081240,11,1.0000,0.41,0.4100,1,0.041,0.0410,1
2730170018,2730170,27,603,02,2005,2005,12,081240,13,13.1000,0.38,0.3800,1,0.035,0.0350,1
2730190023,2730190,27,604,02,2005,2006,3,071141,11,1.0000,0.19,0.1900,0,0.02,0.0200,0
2730190024,2730190,27,604,02,2005,2006,3,071141,13,12.7000,0.23,0.2300,0,0.028,0.0280,0
2730200001,2730200,27,605,01,2005,2005,4,260951,11,1.0000,0.17,0.1700,0,0.016,0.0160,0
2730200002,2730200,27,605,01,2005,2005,4,260951,13,18.6000,0.18,0.1800,0,0.022,0.0220,0
2730200003,2730200,27,605,01,2005,2005,5,170930,11,1.0000,0.22,0.2200,0,0.023,0.0230,0
2730080002,2730080,27,601,55,2005,2005,5,110910,11,0.5000,1.3,1.3000,,0.16,0.1600,
2730080005,2730080,27,601,55,2005,2005,8,030928,11,0.5000,1.9,1.9000,,0.23,0.2300,
2730080008,2730080,27,601,55,2005,2005,11,020918,11,0.5000,1.3,1.3000,,0.12,0.1200,
2730080011,2730080,27,601,55,2005,2006,2,020924,11,0.5000,2.2,2.2000,,0.16,0.1600,
2730090002,2730090,27,601,56,2005,2005,5,110810,11,0.5000,4.6,4.6000,,0.18,0.1800,
2730090005,2730090,27,601,56,2005,2005,8,030815,11,0.5000,4.4,4.4000,,0.21,0.2100,
2730090008,2730090,27,601,56,2005,2005,11,020810,11,0.5000,3,3.0000,,0.13,0.1300,
2730090011,2730090,27,601,56,2005,2006,2,020813,11,0.5000,4.9,4.9000,,0.3,0.3000,
2730130001,2730130,27,602,01,2005,2005,4,261019,11,1.0000,0.55,0.5500,0,0.049,0.0490,0
